ALB,10/3/2011,23:18:19,38.97,41.515,1568225,1340630,-3.47,
ALC,10/3/2011,23:18:19,12.17,12.92,148099,82733,-3.24,
ALE,10/3/2011,23:18:19,35.94,36.875,427140,205278,-1.86,
ALEX,10/3/2011,23:18:19,34.00,37.08,195616,201300,-5.80,
ALF,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
ALG,10/3/2011,23:18:19,20.10,21.14,30780,40452,-3.27,
ALJ,10/3/2011,23:18:19,5.449,6.05,409289,350644,-10.77,
ALK,10/3/2011,23:18:19,51.26,56.54,763082,429764,-8.83,
ALL,10/3/2011,23:18:19,22.69,23.85,5621968,5842550,-4.14,
ALM,10/3/2011,23:18:19,26.14,26.36,27999,20960,-0.08,
ALN,10/3/2011,23:18:19,1.52,1.62,75479,46214,-6.75,
ALO,3/18/2011,23:18:19,N/A,N/A,0,6910,0.00,
ALQ,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
ALR,10/3/2011,23:18:19,18.46,19.28,1001243,1015290,-5.80,
ALT,10/3/2011,23:18:19,48.65,49.16,26584,22530,-0.29,
ALU,10/3/2011,23:18:19,2.40,2.63,32421266,28894400,-14.49,
ALV,10/3/2011,23:18:19,46.02,48.95,1055695,1347910,-4.87,
ALX,10/3/2011,23:18:19,333.00,361.01,5346,4083,-7.76,
ALY,2/23/2011,23:18:19,N/A,N/A,0,984156,0.00,
ALZ,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AM,10/3/2011,23:18:19,17.79,18.93,633974,335020,-3.62,
AMB,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AMBO,10/3/2011,23:18:19,6.52,6.839,62683,72089,-2.49,
AMD,10/3/2011,23:18:19,4.52,5.03,39505480,25832900,-10.83,
AME,10/3/2011,23:18:19,31.35,33.33,1709820,886245,-4.67,
AMG,10/3/2011,23:18:19,72.88,78.43,1290479,721106,-6.62,
AMJ,10/3/2011,23:18:19,33.07,33.97,1004928,1509480,-2.53,
AMLP,10/3/2011,23:18:19,14.95,15.25,603218,797858,-1.57,
AMM,10/3/2011,23:18:19,9.81,9.81,100,3397,-0.20,
AMN,10/3/2011,23:18:19,84.94,84.98,220781,432475,0.00,
AMP,10/3/2011,23:18:19,37.32,39.25,4678085,3365290,-5.13,
AMR,10/3/2011,23:18:19,1.75,2.89,76768000,12838000,-33.11,
AMRC,10/3/2011,23:18:19,9.19,10.15,184628,183297,-9.35,
AMS,10/3/2011,23:18:19,2.60,2.66,300,3003,-5.45,
AMT,10/3/2011,23:18:19,52.82,54.68,6670906,3405120,-1.75,
AMX,10/3/2011,23:18:19,21.48,22.15,6336494,7081240,-2.63,
AMY,4/21/2011,23:18:19,N/A,N/A,0,4278,0.00,
AN,10/3/2011,23:18:19,31.34,32.79,1472524,1137680,-3.78,
ANF,10/3/2011,23:18:19,59.22,61.56,3244389,2905240,-3.10,
ANH,10/3/2011,23:18:19,6.39,6.85,4252875,2372390,-6.03,
ANI,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
ANN,10/3/2011,23:18:19,21.60,22.97,2317394,2285940,-5.08,
ANO,10/3/2011,23:18:19,0.53,0.58,77153,164064,-8.33,
ANR,10/3/2011,23:18:19,16.00,17.83,11851019,7603500,-9.33,
ANV,10/3/2011,23:18:19,34.13,36.86,943277,925278,-2.74,
ANW,10/3/2011,23:18:19,3.73,4.44,733695,598577,-17.29,
ANX,10/3/2011,23:18:19,0.84,0.9199,539834,1569280,-4.35,
AOA,10/3/2011,23:18:19,29.30,30.30,25727,18717,-3.75,
AOB,10/3/2011,23:18:19,0.56,0.62,236795,432094,-9.52,
AOD,10/3/2011,23:18:19,4.35,4.542,1705309,1152500,-2.88,
AOI,10/3/2011,23:18:19,2.31,2.46,599128,466677,-5.33,
AOK,10/3/2011,23:18:19,28.48,28.65,13768,30270,-0.42,
AOL,10/3/2011,23:18:19,11.28,12.00,3420452,2786430,-5.00,
AOM,10/3/2011,23:18:19,28.6544,28.876,8094,29108,-0.89,
AON,10/3/2011,23:18:19,40.62,42.42,3993960,2627480,-3.24,
AOR,10/3/2011,23:18:19,28.82,29.69,6913,23552,-2.00,
AOS,10/3/2011,23:18:19,30.38,32.62,740886,492442,-5.00,
AP,10/3/2011,23:18:19,18.28,20.448,37467,33898,-10.17,
APA,10/3/2011,23:18:19,76.47,79.63,4891485,3425410,-4.66,
APB,10/3/2011,23:18:19,8.99,9.37,40444,16875,-3.90,
APC,10/3/2011,23:18:19,60.35,63.37,6850447,4585110,-4.00,
APD,10/3/2011,23:18:19,73.85,77.18,2069732,1577360,-3.27,
APF,10/3/2011,23:18:19,13.681,13.99,46503,35425,-1.85,
APH,10/3/2011,23:18:19,39.41,40.84,2337925,1689840,-2.38,
API,10/3/2011,23:18:19,0.80,1.03,88363,65005,-9.52,
APL,10/3/2011,23:18:19,27.05,30.03,919105,395409,-5.26,
APP,10/3/2011,23:18:19,0.70,0.80,249227,364862,-3.80,
APT,10/3/2011,23:18:19,1.11,1.20,55649,42920,-3.48,
APU,10/3/2011,23:18:19,43.14,44.15,74223,93117,-1.32,
APX,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AQQ,10/3/2011,23:18:20,12.87,13.33,15500,2178,-1.68,
ARB,10/3/2011,23:18:20,32.71,34.24,288748,162862,-0.54,
ARE,10/3/2011,23:18:20,57.09,61.30,649323,554661,-6.84,
ARG,10/3/2011,23:18:20,62.44,64.65,996696,850022,-2.12,
ARI,10/3/2011,23:18:20,12.22,13.08,170439,114884,-7.21,
ARJ,10/3/2011,23:18:20,46.81,47.05,465538,738920,-0.09,
ARK,10/3/2011,23:18:20,3.58,3.63,164652,192295,-1.37,
ARL,10/3/2011,23:18:20,1.27,1.6424,7228,3762,-12.96,
ARM,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
ARO,10/3/2011,23:18:20,10.18,10.83,3236394,3168710,-5.74,
ARP,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
ARR,10/3/2011,23:18:20,5.42,6.80,9266948,3037960,-13.09,
ARR.W,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
ART,10/3/2011,23:18:20,7.19,7.97,390767,358544,-9.42,
ARW,10/3/2011,23:18:20,25.79,27.63,1402723,1531740,-6.48,
ASA,10/3/2011,23:18:20,26.37,27.58,122823,92419,-1.00,
ASB,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
ASF,N/A,23:18:20,N/A,N/A,N/A,0,N/A,
ASG,10/3/2011,23:18:20,3.40,3.60,122980,76884,-5.00,
ASH,10/3/2011,23:18:20,42.77,44.93,1347248,1123860,-3.06,
ASI,10/3/2011,23:18:20,17.51,19.04,45462,38269,-4.84,
ASP,10/3/2011,23:18:20,10.20,10.45,13237,17653,-1.82,
ASR,10/3/2011,23:18:20,48.55,49.84,56358,73603,-1.57,
ASX,10/3/2011,23:18:20,4.00,4.24,1282524,1528780,-4.03,
AT,10/3/2011,23:18:20,13.57,14.30,571821,395516,-4.37,
ATA,10/3/2011,23:18:20,9.15,9.21,600,1059,-2.03,
ATC,10/3/2011,23:18:20,0.2576,0.35,16962,7564,+7.14,
ATE,10/3/2011,23:18:20,10.19,10.62,60278,24350,-3.84,
ATI,10/3/2011,23:18:20,33.66,37.23,3641044,2783530,-8.76,
ATK,10/3/2011,23:18:20,52.50,55.07,368050,302695,-1.87,
ATO,10/3/2011,23:18:20,30.81,32.61,548181,534669,-4.56,
ATR,10/3/2011,23:18:20,42.69,45.12,303872,251809,-4.21,
ATSC,10/3/2011,23:18:20,3.05,3.099,6800,10095,-3.17,
ATT,10/3/2011,23:18:20,26.38,26.7297,133746,134442,-1.04,
ATU,10/3/2011,23:18:20,18.40,19.87,1564273,1046930,-6.84,
ATV,10/3/2011,23:18:20,4.60,4.93,6193,8092,-8.91,
ATW,10/3/2011,23:18:20,31.70,33.92,1082358,951934,-6.93,
AU,10/3/2011,23:18:20,40.53,42.69,1759708,2246330,-1.60,
AUMN,10/3/2011,23:18:20,7.04,7.7796,264501,208989,-5.38,
AUO,10/3/2011,23:18:20,3.77,3.97,2166033,2623780,-4.80,
AUY,10/3/2011,23:18:20,13.34,14.07,10590830,12534600,-1.90,
AV,10/3/2011,23:18:20,8.72,9.12,82638,70819,-6.31,
AVA,10/3/2011,23:18:20,23.60,24.31,680564,418903,-0.88,
AVB,10/3/2011,23:18:20,110.74,116.69,1384711,1288230,-2.87,
AVD,10/3/2011,23:18:20,10.90,11.48,423265,213834,-1.43,
AVF,10/3/2011,23:18:20,22.33,23.13,204401,117553,+0.13,
AVK,10/3/2011,23:18:20,13.79,14.45,158952,93198,-4.70,
AVP,10/3/2011,23:18:20,18.96,19.64,4307522,4279100,-3.21,
AVT,10/3/2011,23:18:20,24.55,25.91,1963303,1983990,-5.02,
AVX,10/3/2011,23:18:20,11.40,11.94,349253,320388,-3.54,
AVY,10/3/2011,23:18:20,23.96,25.43,1660965,1618790,-4.43,
AWC,10/3/2011,23:18:20,5.4236,5.64,1530820,290844,-2.83,
AWF,10/3/2011,23:18:20,12.82,13.199,337001,227988,-0.92,
AWH,10/3/2011,23:18:20,51.30,53.60,292761,366764,-3.93,
AWI,10/3/2011,23:18:20,33.16,34.71,167741,377491,-2.85,
AWK,10/3/2011,23:18:20,29.27,30.64,1551749,1258680,-3.02,
AWP,10/3/2011,23:18:20,5.05,5.281,1279109,384568,-5.24,
AWR,10/3/2011,23:18:20,32.33,33.78,220568,112084,-4.39,
AWX,10/3/2011,23:18:20,2.24,2.25,2000,2672,+0.45,
AXDI,9/27/2011,23:18:20,N/A,N/A,0,373,0.00,
AXE,10/3/2011,23:18:20,45.05,47.51,543517,426083,-4.93,
AXEN,10/3/2011,23:18:20,47.65,47.77,402,721,-4.53,
AXHE,10/3/2011,23:18:20,52.47,54.55,724,1562,-3.13,
AXID,9/29/2011,23:18:20,N/A,N/A,0,194,0.00,
AXIT,10/3/2011,23:18:20,45.10,45.10,500,855,-4.25,
AXK,10/3/2011,23:18:20,2.33,2.69,39901,43744,-6.54,
